row_id,candidate_id,type,title,venue,year,authors,doi,url,issn,link
11,04_MUHAMMAD_FARRUKH,journal,Automated lumpy skin grading in bovine images using novel deep convolutional neural networks,Multimedia Tools and Applications,2025.0,Abdul Malik Muhammad; Muhammad Zia ur Rehman; Zohaib Mushtaq; Muhammad Farrukh Qureshi,,,,
12,04_MUHAMMAD_FARRUKH,journal,Lighthybridnet-Transformer-Ffia: A Hybrid Transformer Based Deep Learning Model for Enhanced Fish Feeding Intensity Classification,Aquacultural Engineering,2025.0,Usama Iqbal; Daoliang Li; Muhammad Farrukh Qureshi; Zohaib Mushtaq,,,,
13,04_MUHAMMAD_FARRUKH,journal,EEG electrode setup optimization using feature extraction techniques for neonatal sleep state classification,Frontiers in Computational Neuroscience,2025.0,Hafza Ayesha Siddiqa; Muhammad Farrukh Qureshi; Arsalan Khurshid; Yan Xu; Laishuan Wang; Saadullah Farooq Abbasi; Chen Chen; Wei Chen,,,,
14,04_MUHAMMAD_FARRUKH,journal,Augmenting aquaculture efficiency through involutional neural networks and self-attention for oplegnathus punctatus feeding intensity classification from log mel spectrograms,MDPI Animal,2024.0,Usama Iqbal; Daoliang Li; Zhuangzhuang Du; Muhammad Akhter; Zohaib Mushtaq; Muhammad Farrukh Qureshi; Hafiz Abbad Ur Rehman,,,,
15,04_MUHAMMAD_FARRUKH,conference,Design and development of a soft robotic gripper for precision control for biomedical applications,International Conference on En,2024.0,Mohammad Qasim Shahid; Faisal Amin; Ahmad Abdullah Haris; Hussain Al Faisal; Ali Imran; Muhammad Farrukh Qureshi,,,,
16,04_MUHAMMAD_FARRUKH,conference,Real-time weed segmentation in tobacco crops utilizing deep learning on a jetson nano,International Conference on En,2024.0,Muhammad Farrukh Qureshi; Faisal Amin; Zohaib Mushtaq; Muhammad Ali; Ahmad Abdullah Haris; Aira Younas Rana,,,,
17,04_MUHAMMAD_FARRUKH,journal,Improving Thyroid Disorder Diagnosis via Ensemble Stacking and Bidirectional Feature Selection,"Computers, Materials & Continua",2024.0,Muhammad Armghan Latif; Zohaib Mushtaq; Saad Arif; Sara Rehman; Muhammad Farrukh Qureshi; Nagwan Abdel Samee; Maali Alabdulhafith; Mohammed A Al-masni,,,,
18,04_MUHAMMAD_FARRUKH,journal,EMG gesture signal analysis towards diagnosis of upper limb using dual-pathway convolutional neural network,AIMS Mathematical Biosciences and Engineering,2024.0,Hafiz Ghulam Murtza Qamar; Muhammad Farrukh Qureshi; Zohaib Mushtaq; Zubariah; Muhammad Zia ur Rehman; Nagwan Abdel Samee; Noha F Mahmoud; Yeong Hyeon Gu; Mohammed A Al-Masni,,,,
19,04_MUHAMMAD_FARRUKH,journal,Discrete Wavelet Transform for Laser Diode Self-Mixing Interferometry Processing for Vibrations Measurement,2nd International Conference o,2023.0,Muhammad Farrukh Qureshi; Zohaib Mushtaq; Muhamamd Zia Ur Rehman; Faisal Amin,,,,
20,04_MUHAMMAD_FARRUKH,conference,Deep learning-based classification of wheat leaf diseases for edge devices,2nd International Conference o,2023.0,Aqeel Ahmed Khan; Sabtain Raza; Muhammad Farrukh Qureshi; Zohaib Mushtaq; Muhammad Taha; Faisal Amin,,,,
21,04_MUHAMMAD_FARRUKH,journal,Efficient energy management for household: Optimization-based integration of distributed energy resources in smart grid,IEEE Access,2023.0,Qamar Akhter; Abubakar Siddique; Salman A Alqahtani; Anzar Mahmood; Mehboob Alam; Zohaib Mushtaq; Muhammad Farrukh Qureshi; Waseem Aslam; Paranav Kumar Pathak,,,,
22,04_MUHAMMAD_FARRUKH,journal,Automated uterine fibroids detection in ultrasound images using deep convolutional neural networks,Healthcare,2023.0,Ahsan Shahzad; Abid Mushtaq; Abdul Quddoos Sabeeh; Yazeed Yasin Ghadi; Zohaib Mushtaq; Saad Arif; Muhammad Zia Ur Rehman; Muhammad Farrukh Qureshi; Faisal Jamil,,,,
23,04_MUHAMMAD_FARRUKH,journal,Enhancing ductal carcinoma classification using transfer learning with 3D U-net models in breast cancer imaging,Applied Sciences,2023.0,Saman Khalil; Uroosa Nawaz; Zubariah; Zohaib Mushtaq; Saad Arif; Muhammad Zia ur Rehman; Muhammad Farrukh Qureshi; Abdul Malik; Adham Aleid; Khalid Alhussaini,,,,
24,04_MUHAMMAD_FARRUKH,journal,E2CNN: An efficient concatenated CNN for classification of surface EMG extracted from upper limb using CNN for human-computer interaction,IEEE Sensors Journal,2023.0,Muhammad Farrukh Qureshi; Zohaib Mushtaq; Muhammad Zia Ur Rehman; Ernest Nlandu Kamavuako,,,,
25,04_MUHAMMAD_FARRUKH,journal,Effective kernel-principal component analysis based approach for wisconsin breast cancer diagnosis,Electronics Letters,2023.0,Zohaib Mushtaq; Muhammad Farrukh Qureshi; Muhammad Jamshed Abbass; Sadeq Mohammed Qaid Al-Fakih,,,,
26,04_MUHAMMAD_FARRUKH,journal,Efficient thyroid disorder identification with weighted voting ensemble of super learners by using adaptive synthetic sampling technique,AIMS Mathematics,2023.0,Noor Afshan; Zohaib Mushtaq; Faten S Alamri; Muhammad Farrukh Qureshi; Nabeel Ahmed Khan; Imran Siddique,,,,
27,04_MUHAMMAD_FARRUKH,conference,Leveraging training strategies of artificial neural network for classification of multiday electromyography signals,International Conference on Em,2022.0,Muhammad Akmal; Sohail Khalid; Mehwish Moiz; Muhammad Jamshed Abbass; Muhammad Farrukh Qureshi; Zohaib Mushtaq,,,,
28,04_MUHAMMAD_FARRUKH,conference,Estimation of Real-Time Wheeled Mobile Robot (Differential Drive) Motion & Pose with Obstacle Avoidance,19th International Bhurban Con,2022.0,Zohaib Mushtaq; Muhammad Farrukh Qureshi; Adil Zohaib; Muhammad Akmal,,,,
29,04_MUHAMMAD_FARRUKH,journal,Spectral image-based multiday surface electromyography classification of hand motions using CNN for human-computer interaction,IEEE Sensors Journal,2022.0,Muhammad Farrukh Qureshi; Zohaib Mushtaq; Muhammad Zia Ur Rehman; Ernest Nlandu Kamavuako,,,,
30,04_MUHAMMAD_FARRUKH,conference,SVM-based real-time classification of prosthetic fingers using myo armband-acquired electromyography data,IEEE 21st international confer,2021.0,Akmal; Muhammad Farrukh Qureshi; Faisal Amin; Muhammad Zia Ur Rehman; Imran Niazi,,,,
31,04_MUHAMMAD_FARRUKH,conference,Spectral processing of self-mixing interferometric signal phase for improved vibration sensing under weak-and moderate-feedback regime,IEEE Sensors Journal,2019.0,Zabit; Usman; Bernal; Olivier D; Amin; Saqib; Muhammad Farrukh Qureshi; Khawaja; Arsalan Habib; Bosch; Thierry,,,,
32,04_MUHAMMAD_FARRUKH,conference,Android based Internet accessible infant incubator,8th International Conference o,2019.0,Inam; Shehla; Muhammad Farrukh Qureshi; Faisal Amin; Akmal; Muhammad; Rehman; Muhammad Ziaur,,,,
33,05_MUHAMMAD_MAJID,journal,Reconfigurable Intelligent Surfaces Assisted NLOS Radar Anti Jamming Using Deep Reinforcement Learning,JOURNAL,2024.0,"MUHAMMAD MAJID AZIZ, A Habib, A Zafar",,,,
34,05_MUHAMMAD_MAJID,journal,Anti-jamming radar waveform design for repeater jammer using reinforcement learning,JOURNAL,2024.0,"MUHAMMAD MAJID AZIZ, A Habib, ARM Maud, A Zafar, SA Irtaza",,,,
35,05_MUHAMMAD_MAJID,conference,Reinforcement learning based techniques for radar anti-jamming,,2021.0,"muhammad majid aziz, ARM Maud, A Habib",,,,
36,07_FIZA_MURTAZA,journal,Multiple Batches of Motion History Images (MB-MHIs) for Multi-view Human Action Recognition,Arabian Journal for Science and Engineering,2020.0,"Hajra Binte Naeem, Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A. Velastin",,,,
37,07_FIZA_MURTAZA,journal,TAB: Temporally aggregated bag-of-words for temporal action proposals,Computer Vision and Image Understanding,2019.0,"Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A. Velastin",,,,
38,07_FIZA_MURTAZA,journal,End-to-End Temporal Action Detection Using Bag of Discriminant Snippets,IEEE Signal Processing Letters,2018.0,"Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A. Velastin, Yu Qian",,,,
39,07_FIZA_MURTAZA,journal,Visual analysis of asphalt pavement for detection and localization of potholes,Advanced Engineering Informatics,2018.0,"Muhammad Haroon Yousaf, Kanza Azhar, Fiza Murtaza, Fawad Hussain",,,,
40,07_FIZA_MURTAZA,journal,Vectors of Temporally Correlated Snippets for Temporal Action Detection,Computers and Electrical Engineering,2020.0,"Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A. Velastin, Yu Qian",,,,
41,07_FIZA_MURTAZA,journal,PASSENGER DETECTION AND COUNTING FOR PUBLIC TRANSPORT SYSTEM,NED University Journal of Research,2020.0,"Saddam Hussain Khan, Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A. Velastin",,,,
42,07_FIZA_MURTAZA,journal,PMHI: proposals from motion history images for temporal segmentation of long uncut videos,IEEE Signal Processing Letters,2017.0,"Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A. Velastin",,,,
43,07_FIZA_MURTAZA,conference,Multi-view human action recognition using 2D motion templates based on MHIs and their HOG description,IET Computer Vision,2016.0,"Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A. Velastin",,,,
44,07_FIZA_MURTAZA,conference,Plant Species Identification using Discriminant Bag of Words (DBoW),15th International Conference on Co,2020.0,"Fiza Murtaza, Umber Saba, Muhammad Haroon Yousaf, Serestina Viriri",,,,
45,07_FIZA_MURTAZA,conference,DA-VLAD: Discriminative Action Vector of Locally Aggregated Descriptors for Action Recognition,25th IEEE International Conference,2018.0,"Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A. Velastin",,,,
46,07_FIZA_MURTAZA,conference,Computer vision based detection and localization of potholes in asphalt pavement images,2016 IEEE Canadian Conference on Electrical and Computer Engineering,2016.0,"Fiza Murtaza, Kanza Azhar, Muhammad Haroon Yousaf, Hafiz Adnan Habib",,,,
47,07_FIZA_MURTAZA,conference,Multi-view human action recognition using histograms of oriented gradients (HOG) description of motion history images (MHIs),13th IEEE International Conference,2015.0,"Fiza Murtaza, Muhammad Haroon Yousaf, Sergio A. Velastin",,,,
48,08_TAYYABA_GULL,journal,Spectral Restoration based speech enhancement for robust speaker identification,Journals,2017.0,"Tayyaba Gul Tareen, N Saleem",,,,
49,08_TAYYABA_GULL,journal,Shunt-Active-Power-Filter-A-Review,journal,2024.0,"Tayyaba Gul Tareen, Wajahat Ullah Khan Tareen, Muhammad Aamir, Jehanzeb Khan and Naveed Jan",,,,
50,08_TAYYABA_GULL,journal,Free-Space Optical channel turbulence analysis based on lognormal distribution and stochastic differential equation,journal,2018.0,"Tayyaba Gul Tareen, Shahryar Shafique, Mehr-e-Munir",,,,
51,08_TAYYABA_GULL,journal,Measuring the Performance of Handover Mechanisms in UMTS for Diverse Traffic Services Classes to Improve QoS,journal,2011.0,"Tayyaba Tareen, Sher Ali, Nasir Saleem",,,,
52,08_TAYYABA_GULL,journal,Design of a Multi-Mode Power Management System for Electric Vehicles with Grid Integration,journal,2024.0,"Tayyaba Gul Tareen, Muhammad Aamir, Jehanzeb Khan, Ghassan Husnain, Fakhar Anjam",,,1673-064X,
53,09_MUHAMMAD_ABUBAKAR,journal,Machine Learning-Based Suicide Risk Assessment and Intervention Strategies for Depression,UMT AIR,2024.0,"Muhammad Yousif, Muhammad Abubakar, Farman Ali, Shoaib U",,,,
54,09_MUHAMMAD_ABUBAKAR,journal,Securing Financial Transactions: Leveraging Random Forest for Credit Card Fraud Detection and Info,UCP Journal of Engineering,2025.0,"Muhammad Abubakar, Arfan Ali Nagra, Khola Farooq, Muhammad Yousif, Muhammad Haseeb Zia",,,,
55,09_MUHAMMAD_ABUBAKAR,journal,"IIOT: An Infusion of Embedded Systems, TinyML, and Federated Learning in Industrial IoT",Journal of Computing & Biomedical I,2025.0,Muhammad Abubakar,,,,
56,09_MUHAMMAD_ABUBAKAR,journal,Ethical Considerations in Utilizing Machine Learning for Depression and Anxiety Detection in College Students,Journal of Computing & Biomedical I,2025.0,"Shoaib Saleem, Muhammad Abubakar, Faiza Rehman, Saima Yousaf",,,,
57,09_MUHAMMAD_ABUBAKAR,journal,Pakistan's Political Sentiments Analysis based on Twitter Using Machine Learning,Journal of Computing & Biomedical I,2024.0,"Muhammad Abubakar, Arfan Ali Nagra, Syeda Urwa Warsi, Saba Mohsin, Hadi Abdullah",,,,
58,09_MUHAMMAD_ABUBAKAR,journal,A Hybrid Approach for Analysis of Urdu Tweets Authorship Empowered by Genetic Algorithm and K-Nearest Neighbors,Journal of Computing & Biomedical I,2023.0,"Zain Ali, Arfan Ali Nagra, Muhammad Abubakar, Muhammad Khalid Mudassar, Masood",,,,
59,09_MUHAMMAD_ABUBAKAR,journal,Optimizing Power Quality Disturbance Classification With Higher Order Statistics: Social And Economic Impacts,Kurdish Studies,2024.0,"Muhammad Abubakar, Arfan Ali Nagra, Junaid Waseem, Zain Ali, Amber Sultan, Hanan Sharif, Ali Haider Khan",,,,
60,09_MUHAMMAD_ABUBAKAR,journal,A gene selection algorithm for microarray cancer classification using an improved particle swarm optimization,Scientific Reports,2024.0,"Muhammad Abubakar, Arfan Ali Nagra, Ali Haider Khan, Muhammad Faheem, Adil Rasool, Khalid Masood, Muzammil Hussain",,,,
61,09_MUHAMMAD_ABUBAKAR,journal,High-Precision Identification of Power Quality Disturbances Based on Discrete Orthogonal S-Transforms and Compressed Neural Network Methods,IEEE Access,2023.0,"Muhammad Arfan Ali Nagra, Muhammad Abubakar, Muhammad Faheem, Muhammad Mudassar, Muhammad Sohail",,,,
62,09_MUHAMMAD_ABUBAKAR,journal,Legendre based neural networks integrated with heuristic algorithms for the analysis of Lorenz chaotic model: an intelligent and comparative study,Scientific Reports,2025.0,"Khalid Masood, Muhammad Naeem Aslam, Mohammed A. Muhammad Arshad, Alghamdi, Sultan H. Almotiri, Muhammad Abubakar",,,,
63,09_MUHAMMAD_ABUBAKAR,journal,ECGNet: High-Precision ECG Classification Using Deep Learning and Advanced Activation Functions,IEEE Access,2025.0,"Muhammad Ahsan Raza, Arfan Ali Nagra, Muhammad Abubakar, Anas Bilal, Ahmad Alshammari, Monir Abdullah",,,,
64,09_MUHAMMAD_ABUBAKAR,journal,Design of a novel noise resilient algorithm for fault detection in wind turbines on supervisory control and data acquisition system,Scientific Reports,2025.0,"Muhammad Irfan, Tomasz Jakubowski, Paweł Sokołowski, Nabeel Ahmed, Grzegorz Nawalany, Saifur Rahman Khan, Muhammad Abubakar, Zohaib Mushtaq",,,,
65,09_MUHAMMAD_ABUBAKAR,journal,A Hybrid RSM-ANN-GA Approach on Optimization of Ultrasound-Assisted Extraction Conditions for Bioactive Component-Rich Stevia rebaudiana (Bertoni) Leaves,Foods,2022.0,"Ameer, Kashif, Saqib Ameer, Young-Min Kim, Muhammad Nadeem, Mi-Kyung Park, Muhammad Abubakar, Muhammad Asif Khan",,,,
66,09_MUHAMMAD_ABUBAKAR,journal,Soft Sensor Model Based on IBA-LSSVM for Photosynthetic Bacteria Fermentation Process,Int J Bioautomation,2021.0,"Khalil Ur Rehman, Xiang Lin Zhu, Bo Wang, Muhammad Shahzad, Hussain, Muhammad Abubakar, Muhammad Ajmal",,,,
67,09_MUHAMMAD_ABUBAKAR,journal,Modelling and Analysis of a very Low Head Kaplan Turbine Runner Blades for Rural Area of Punjab,International Journal of Scientific,2014.0,"Muhammad Saeed, Talal Ahmad, Noor Rehman, Muhammad Abubakar",,,,
68,09_MUHAMMAD_ABUBAKAR,journal,Classification of Power Quality Disturbance Based on Multiscale Singular Spectral Analysis and Multi Resolution Wavelet Transforms,International Journal of Recent Tec,2019.0,"Muhammad Abubakar, Muhammad Shahzad, Benjamin Doh, Benjamin Kwame Adobah",,,,
69,09_MUHAMMAD_ABUBAKAR,journal,Identification of Multiple Power Quality Disturbances Problems in Wind-Grid Integration System,International Journal of Renewable,2019.0,"Muhammad Yue Shen, Hui Liu, Fida Hussain, Muhammad Abubakar",,,,
70,09_MUHAMMAD_ABUBAKAR,journal,Hybrid self-inertia weight adaptive particle swarm optimization with local search using C4. 5 decision tree classifier for feature selection problems,Connection Science,2019.0,"Nagra AA, Han F, Nagra AA, Han F, Ling QH, Abubakar M, Ahmad F, Mehta S, Apasiba AT",,,,
71,09_MUHAMMAD_ABUBAKAR,journal,Signal Processing and Deep Learning Techniques for Power Quality Events Monitoring and Classification,Electric Power Components and Systems,2019.0,"Liu Hui, Fida Hussain, Yue Shen, Ruben Morales-Menendez, Muhammad Abubakar, Sheikh Junaid Yawar, Haris Jawad Arain",,,,
72,09_MUHAMMAD_ABUBAKAR,journal,Soft-sensor modeling for L-lysine fermentation process based on hybrid ICS-MLSSVM,Scientific Reports,2020.0,"Bo Wang, Muhammad Shahzad, Xianglin Zhu, Khalil ur Rehman, Muhammad Ashfaq, Muhammad Abubakar",,,,
73,09_MUHAMMAD_ABUBAKAR,journal,Complex power quality disturbances classification via curvelet transform and deep learning,Electric Power Systems and Research,2018.0,"Liu Hui, Fida Hussain, Yue Shen, Sheeraz Arif, Aamir Nazir, Muhammad Abubakar",,,,
74,09_MUHAMMAD_ABUBAKAR,journal,Power Quality Disturbance Monitoring and Classification Based on Improved PCA and Convolution Neural Network for Wind-Grid Distribution Systems,Energies,2019.0,"Shen Yue, Hui Liu, Fida Hussain, Muhammad Abubakar",,,,
75,10_MUHAMMAD_EHATISHAM,,,,,,,,,
76,11_WAQAS_AMIN,journal,A Novel Method of Transformer Overloading on Detection by Instrumentatio Magnetic Flux Leakage Measurements,IEEE Transactions,2025.0,"Waqas Amin, Arsalan Habib, Khawaja Wajiha, Ateeq, Dongsheng Cai, Qi Huang",,,,
77,11_WAQAS_AMIN,journal,Optimization of social welfare and mitigating privacy risks in P2P energy trading: Di(cid:0)erential privacy for secure data reporting,Applied Energy,2025.0,"Waqas Amin, Syed Adrees Ahmed, Qi Huang, Muhammad Afzal, Fazal Hussain, Muhammad Husnain Haider, Qi Huang",,,,
78,11_WAQAS_AMIN,journal,3DFFL: privacy-preserving Federated Few-Shot Learning for 3D point clouds in autonomous vehicles,Scientific Reports,2024.0,"Waqas Amin, Abdullah Aman Khan, Khwaja Mutahir Ahmad, Sidra Sha(cid:0)q, Rajesh Kumar",,,,
79,11_WAQAS_AMIN,journal,A fair and effective approach to managing distributed energy resources through peer-to-peer energy trading with load prioritization among smart homes,Energy Reports,2024.0,"Waqas Amin, Syed Adrees Ahmed, Qi Huang, Muhammad Afzal, Fazal Hussain, Muhammad Husnain Haider, Qi Huang",,,,
80,11_WAQAS_AMIN,journal,"Smart Grid Systems: Addressing Privacy Threats, Security Vulnerabilities, and Demand-Supply Balance (A review)",Energies,2025.0,"Waqas Amin, Iqra Nazir, Nermish Mushtaq",,,,
81,11_WAQAS_AMIN,journal,"Enhancing Smart Grid Security and Efficiency: AI, Energy Routing, and T&D Innovations (A Review)",Energies,2025.0,"Waqas Amin, Hassam Ishfaq, Mubarak Abdussalam, Sania Kanwal, Sadeed Ahmad",,,,
82,11_WAQAS_AMIN,journal,Attention-Enhanced Bidirectional LSTM for Accurate False Data Injection Attack Detection in Smart Grid,Transactions on Emerging Telecommunications Technologies,2025.0,"Waqas Amin, Hassam Ishfaq, Xuyang Shi",,,,
83,11_WAQAS_AMIN,journal,Energy Efficiency Optimization in Vehicle Telecommunication Network Using Hybrid-Genetic Algorithm,Transactions on Emerging Telecommunications Technologies,2025.0,"Waqas Amin, Mubarak Abdussalam, Xuyanh Shi",,,,
84,11_WAQAS_AMIN,journal,Enhanced Cybersecurity for Smart Grids: Detecting Protocol-Specific DDoS Attacks on Modbus Networks,Computers and Electrical Engineering,2025.0,"Waqas Amin, Abdullah Aman Khan, Bilal Ra(cid:0)que, Qi Huang, Li Jian, Iqra Batool",,,,
85,11_WAQAS_AMIN,journal,Blockchain Enabled Reserved Pricing and Privacy on Consumer Preserving Model for Elect Peer-to-Peer Energy Trading In Smart Grid,IEEE Transactions,2025.0,"Waqas Amin, Renato R., Xuyang Shi and Muhammad Asim Saleem",,,,
86,11_WAQAS_AMIN,journal,FPGA-Driven Secure Energy Routing and Attack Detection in Decentralized Elect Microgrids With SREMBased Dynamic Path Optimization,IEEE Transactions,2025.0,"Waqas Amin, Xuyang Shi, Sarathbabu, Muhammad Asim Saleem and Raju, Kola Narasimha",,,,
87,11_WAQAS_AMIN,journal,Vehicle-to-Everything (V2X) Traffic and Transportation Technology and Its Pilot Projects: A Review,Journal of Transportation Technology,2025.0,"Waqas Amin, Qi Huang, Jian Li, Abdullah Aman Khan, Asim Saleem",,,,
88,11_WAQAS_AMIN,journal,Reputation-Based Uniform Pricing & Energy Distribution in Peer-to-Peer Energy Trading Market,Ain Shams Engineering Journal,2025.0,"Waqas Amin, Qi Huang, Jian Li, Abdullah Aman Khan, Umashankar Subramaniam, Sivakumar Selvam",,,,
89,11_WAQAS_AMIN,journal,A secure energy management model for Peer-to-Peer smart grids with user-centric constraints,Internet of Things,2025.0,"Waqas Amin, Qi Huang, Jian Li, Abdullah Aman Khan, Umashankar Subramaniam, Sivakumar Selvam",,,,
90,11_WAQAS_AMIN,journal,Role of blockchain technology in transactive energy market: A review,Sustainable Energy Technologies,2022.0,"Muhammad Afzal, Li jian, Waqas Amin, Qi Huang, Khalid Umer, Syed Adrees Ahmad, Fayyaz Ahmad, Asif Raza",,,,
91,11_WAQAS_AMIN,journal,An Effective Pricing Mechanism for Electricity Trading Considering Customer Preference and Reserved Price in Direct P2P Electricity Market Under Uncertainty in Grid Supply,International Journal,2022.0,"Waqas Amin, FAYYAZ AHMAD, KHALID UMER, ARSALAN HABIB KHAWAJA, MUHAMMAD AFZAL, SYED ADREES AHMED, SURACHAI CHAITUSANEY",,,,
92,11_WAQAS_AMIN,journal,P2P Energy Trading: An Optimal Solution for Energy Shortage in Pakistan,International Journal,2022.0,"Waqas Amin, FAYYAZ AHMAD, KHALID UMER, ARSALAN HABIB KHAWAJA, MUHAMMAD AFZAL, SYED ADREES AHMED, SURACHAI CHAITUSANEY",,,,
93,11_WAQAS_AMIN,journal,Cost-effective Energy Management System in Prosumer based Electricity Market,Intl Conference,2020.0,"Waqas Amin, S. A. Ahmed, Q. Huang, and M. Afzal",,,,
94,11_WAQAS_AMIN,journal,Blockchain based domestic appliances scheduling in community microgrids,Intl Conference,2019.0,"Waqas Amin, M Afzal, Q. Huang, K. Umer, A. Raza and M. Naeem",,,,
95,11_WAQAS_AMIN,journal,Blockchain enabled distributed demand side management in community energy system with smart homes,Intl Journal,2020.0,"Waqas Amin, M. Afzal, Q. Huang, K. Umer, A. Raza and M. Naeem",,,,
96,11_WAQAS_AMIN,journal,A novel communication efficient peer-to-peer energy trading scheme for enhanced privacy in microgrids,Intl Journal,2021.0,"Waqas Amin, Khalid Umer, Qi Huang, Mohsen Khorasany, Muhammad Afzal",,,,
97,11_WAQAS_AMIN,journal,A motivational game-theoretic approach for peer-to-peer energy trading in islanded and grid-connected microgrid,Intl Journal,2020.0,"Waqas Amin, QiHuang, M.Afzal, Abdullah AmanKhan, ZhenyuanZhang, KhalidUmer,Syed AdreesAhmed",,,,
98,11_WAQAS_AMIN,journal,Consumers' preference based optimal price determination model for P2P energy trading,Intl Journal,2020.0,"Waqas Amin, QiHuang, M.Afzal, Abdullah AmanKhan, ZhenyuanZhang, KhalidUmer,Syed AdreesAhmed",,,,
99,11_WAQAS_AMIN,journal,A converging non-cooperative & cooperative game theory approach for stabilizing peer-to-peer electricity trading,Intl Journal,2020.0,"Waqas Amin, QiHuang, KhalidUmer,MuhammadAfzal,Abdullah AmanKhan,Syed AdreesAhmad",,,,
100,11_WAQAS_AMIN,journal,A Review of Transactive Energy Systems: Concept and Implementation,Intl Journal,2021.0,"Waqas Amin, QiHuang, KhalidUmer,HoayBengGooi,Foo Yi ShyhEddy,MuhammadAfzal,MahnoorShahzadi,Abdullah AmanKhan,Syed AdreesAhmad",,,,
101,12_SYED_TAMOORULHASSAN,conference,Techno-Economic Analysis of Visible Light Communications,IEEE International Symposium on Wireless Communication,2013.0,"H. Chowdhury, H. Bagheri, M. Ikram, Ashraf, S. Tamoor-ul-Hassan, Marcos Katz",,,,
102,12_SYED_TAMOORULHASSAN,conference,Device-to-device assisted mobile cloud framework for 5G networks,IEEE 14th International Conference,2016.0,"Muhammad Ikram, Ashraf, Syed Tamoor-ul-Hassan, Shahid Mumtaz, Kim Fung Tsang, Jonathan Rodriquez",,,,
103,12_SYED_TAMOORULHASSAN,journal,Latency-Aware Radio Resource Optimization in Learning-Based Cloud-Aided Small Cell Wireless Networks,IEEE Transactions on Green Computing,2023.0,"S. Tamoor-ul-Hassan, S. Samarakoon, M. Bennis, M. Latva-aho",,,,
104,12_SYED_TAMOORULHASSAN,journal,Learning-based Caching in Cloud-Aided Wireless Networks,IEEE Communication Letters,2017.0,"S. Tamoor-ul-Hassan, S. Samarakoon, M. Bennis, M. Latva-aho, C.S. Hong",,,,
